"AMIId","AMIName","Description","Architecture","Platform","CreationDate","OwnerId","State","Public","TotalInstanceCount","SSORolesUsing","AccountBreakdown","InstanceTypeBreakdown","StateBreakdown"
"ami-0ddacb2149bde10be","AMI Deleted/Private (ami-0ddacb2149bde10be)","AMI not found or no access","N/A","N/A","N/A","N/A","N/A","False","254","nonprivFujitsuCSA","ipf-aws-vmc-sddc3:61; ipf-aws-vmc-sddc1:193","t3.large:7; t3.medium:17; t3.small:25; t3.xlarge:12; c6i.2xlarge:2; c6i.large:158; c6i.xlarge:2; m6i.2xlarge:4; m6i.large:9; m6i.xlarge:8; r5.xlarge:2; r5b.2xlarge:4; r5b.4xlarge:4","running:51; stopped:10; running:190; stopped:3"
"ami-09e7cc6a459082c81","Migrated_Windows_BYOL_Instance_","N/A","x86_64","Windows BYOL","2024-04-24T13:33:03.000Z","505803097751","available","True","120","nonprivFujitsuCSA","ipf-aws-workloadczech-prod:16; ipf-aws-workloadpoland-prod:57; ipf-aws-workloadhungary-prod:47","c6i.large:8; c6i.xlarge:3; m6i.2xlarge:2; m6i.large:1; r5.2xlarge:2; c7i.2xlarge:6; c7i.large:1; c7i.xlarge:24; m6i.2xlarge:2; m6i.4xlarge:2; m6i.8xlarge:1; m6i.large:1; m6i.xlarge:10; r6i.2xlarge:1; r6i.4xlarge:4; r6i.8xlarge:1; r6i.xlarge:2; x2iezn.6xlarge:2; c6i.large:10; c6i.xlarge:15; m6i.large:5; m6i.xlarge:9; r5.4xlarge:1; r5b.2xlarge:6; r5b.4xlarge:1","running:16; running:56; stopped:1; running:46; stopped:1"
"ami-038adb0674fed4615","Migrated_Windows_Instance_","N/A","x86_64","Windows","2024-04-24T12:22:12.000Z","505803097751","available","True","102","nonprivFujitsuCSA","ipf-aws-dmz-test:1; ipf-aws-dmz-prod:4; ipf-aws-workloadczech-test:15; ipf-aws-workloadromania-test:11; ipf-aws-workloadczech-prod:8; ipf-aws-workloadhungary-test:21; ipf-aws-workloadpoland-prod:3; ipf-aws-workloadpoland-test:29; ipf-aws-workloadhungary-prod:10","c7i.large:1; c7i.xlarge:4; c4.2xlarge:1; c7i.large:6; c7i.xlarge:1; m7i.large:3; r4.large:1; r6a.2xlarge:2; r6a.xlarge:1; c7i.large:2; c7i.xlarge:1; m7i.large:2; r4.large:1; r5.large:2; r5.xlarge:1; t3.2xlarge:1; t3.xlarge:1; c6i.2xlarge:1; c7i.xlarge:2; m6i.xlarge:1; m7i.2xlarge:1; r4.xlarge:1; x2iedn.4xlarge:1; z1d.6xlarge:1; c7i.large:10; c7i.xlarge:2; m7i.large:1; m7i.xlarge:1; r5.xlarge:1; r5b.2xlarge:1; r5b.xlarge:1; t3a.large:3; z1d.3xlarge:1; m6i.xlarge:1; r6i.xlarge:1; r6in.4xlarge:1; c7i.large:1; c7i.xlarge:8; m7i-flex.large:5; m7i.2xlarge:1; m7i.xlarge:4; r4.xlarge:2; r7i.2xlarge:2; r7i.4xlarge:1; r7i.large:1; r7i.xlarge:4; c4.large:1; c7i.xlarge:1; m7i.large:1; m7i.xlarge:6; r7i.large:1","running:1; running:4; running:15; running:11; running:8; running:21; running:3; running:29; running:9; stopped:1"
"ami-0c9cb777f2ad95037","AMI Deleted/Private (ami-0c9cb777f2ad95037)","AMI not found or no access","N/A","N/A","N/A","N/A","N/A","False","62","nonprivFujitsuCSA","ipf-aws-dmz-test:11; ipf-aws-dmz-prod:15; ipf-aws-vmc-sddc3:32; ipf-aws-vmc-sddc2:4","c5a.large:2; c6a.large:1; c6i.large:2; m6i.large:2; m6i.xlarge:2; m7i-flex.xlarge:1; r7iz.large:1; c5a.large:1; c6a.xlarge:2; c6i.large:2; m6a.large:1; m6i.large:2; m6i.xlarge:2; m7a.medium:1; r5a.xlarge:1; r6a.xlarge:1; t3.2xlarge:1; t3.xlarge:1; c4.large:3; c4.xlarge:1; c6i.large:5; c6i.xlarge:3; m6i.xlarge:2; m7a.medium:1; m7i-flex.2xlarge:2; m7i-flex.xlarge:1; m7i.large:1; r6a.2xlarge:1; r6a.large:2; r6a.xlarge:4; t2.medium:6; c6i.large:2; m6i.large:1; r7i.xlarge:1","running:11; running:15; running:31; stopped:1; running:3; stopped:1"
"ami-0803576f0c0169402","amzn2-ami-kernel-5.10-hvm-2.0.20250623.0-x86_64-gp2","Amazon Linux 2 Kernel 5.10 AMI 2.0.20250623.0 x86_64 HVM gp2","x86_64","Linux/UNIX","2025-06-20T08:52:15.000Z","137112412989","available","True","44","nonprivFujitsuCSA","ipf-aws-distasterrecovery-stg:11; ipf-aws-vmc-sddc2:33","t3.small:11; m5.large:1; m6i.large:2; t3.medium:3; t3.small:27","running:11; running:33"
"ami-0042be5a445cb4271","AMI Deleted/Private (ami-0042be5a445cb4271)","AMI not found or no access","N/A","N/A","N/A","N/A","N/A","False","27","nonprivFujitsuCSA","ipf-aws-vmc-sddc3:14; ipf-aws-vmc-sddc1:10; ipf-aws-vmc-sddc2:3","m5a.large:1; m7a.medium:1; r5a.4xlarge:2; r5a.xlarge:3; t3a.xlarge:5; x1e.xlarge:1; x2iedn.xlarge:1; c5a.large:1; m5a.large:1; r5a.4xlarge:2; r5a.xlarge:1; r6a.xlarge:1; r7a.large:1; t3a.medium:1; t3a.xlarge:2; r5a.xlarge:2; t3a.xlarge:1","running:13; stopped:1; running:10; running:3"
"ami-018178753eb1f9f5e","amzn2-ami-kernel-5.10-hvm-2.0.20250707.0-x86_64-gp2","Amazon Linux 2 Kernel 5.10 AMI 2.0.20250707.0 x86_64 HVM gp2","x86_64","Linux/UNIX","2025-07-07T22:36:38.000Z","137112412989","available","True","21","nonprivFujitsuCSA","ipf-aws-distasterrecovery-stg:18; ipf-aws-vmc-sddc2:3","r6i.xlarge:7; t3.small:11; m6i.large:1; t3.small:2","running:16; terminated:2; running:3"
"ami-071ecbc13c113a10e","AMI Deleted/Private (ami-071ecbc13c113a10e)","AMI not found or no access","N/A","N/A","N/A","N/A","N/A","False","17","nonprivFujitsuCSA","ipf-aws-workloadczech-test:2; ipf-aws-vmc-sddc1:1; ipf-aws-workloadromania-test:2; ipf-aws-adfr-prod:8; ipf-aws-workloadhungary-test:2; ipf-aws-workloadpoland-test:2","c5.large:2; r7a.2xlarge:1; c5.large:2; t3a.medium:8; c5.large:2; c5.large:2","running:2; stopped:1; running:2; stopped:8; running:2; running:2"
"ami-0b54d01d641bc4380","AMI Deleted/Private (ami-0b54d01d641bc4380)","AMI not found or no access","N/A","N/A","N/A","N/A","N/A","False","14","nonprivFujitsuCSA","ipf-aws-vmc-sddc1:11; ipf-aws-vmc-sddc2:3","c6i.large:6; c7i.xlarge:1; m6i.2xlarge:3; r5b.2xlarge:1; c6i.large:3","running:11; running:3"
"ami-06c7516249dc40c0d","BYOL-IMAGE-DO-NOT-DELETE","Image created for BYOL license for Dedicated host","x86_64","Windows BYOL","2023-05-26T13:39:10.000Z","390439356506","available","False","12","nonprivFujitsuCSA","ipf-aws-vmc-sddc1:12","r5.2xlarge:1; r5.4xlarge:4; r5.large:1; r5.xlarge:5; r5b.4xlarge:1","running:11; stopped:1"
